[START] Cross-game date fix v84 | candidates=136 | execute=True
[OK 44/136] HTTP 200 | 나크 478880 | 2024-11-13 -> 2024-11-14 | https://www.nightcrows.co.kr/news/release/478880
[OK 45/136] HTTP 200 | 나크 482330 | 2024-11-20 -> 2024-11-21 | https://www.nightcrows.co.kr/news/release/482330
[OK 46/136] HTTP 200 | 나크 485651 | 2024-11-27 -> 2024-11-28 | https://www.nightcrows.co.kr/news/release/485651
[OK 47/136] HTTP 200 | 나크 488593 | 2024-12-04 -> 2024-12-05 | https://www.nightcrows.co.kr/news/release/488593
[OK 48/136] HTTP 200 | 나크 492737 | 2024-12-11 -> 2024-12-12 | https://www.nightcrows.co.kr/news/release/492737
[OK 49/136] HTTP 200 | 나크 497671 | 2024-12-18 -> 2024-12-19 | https://www.nightcrows.co.kr/news/release/497671
[OK 50/136] HTTP 200 | 나크 504474 | 2024-12-25 -> 2024-12-26 | https://www.nightcrows.co.kr/news/release/504474
[OK 51/136] HTTP 200 | 나크 511724 | 2025-01-01 -> 2025-01-02 | https://www.nightcrows.co.kr/news/release/511724
[OK 52/136] HTTP 200 | 나크 516802 | 2025-01-08 -> 2025-01-09 | https://www.nightcrows.co.kr/news/release/516802
[OK 53/136] HTTP 200 | 나크 518465 | 2025-01-15 -> 2025-01-16 | https://www.nightcrows.co.kr/news/release/518465
[OK 54/136] HTTP 200 | 나크 520261 | 2025-01-22 -> 2025-01-23 | https://www.nightcrows.co.kr/news/release/520261
[OK 55/136] HTTP 200 | 나크 522556 | 2025-02-05 -> 2025-02-06 | https://www.nightcrows.co.kr/news/release/522556
[OK 56/136] HTTP 200 | 나크 523825 | 2025-02-12 -> 2025-02-13 | https://www.nightcrows.co.kr/news/release/523825
[OK 57/136] HTTP 200 | 나크 525978 | 2025-02-19 -> 2025-02-20 | https://www.nightcrows.co.kr/news/release/525978
[OK 58/136] HTTP 200 | 나크 538372 | 2025-02-26 -> 2025-02-27 | https://www.nightcrows.co.kr/news/release/538372
[OK 59/136] HTTP 200 | 나크 554404 | 2025-03-05 -> 2025-03-06 | https://www.nightcrows.co.kr/news/release/554404
[OK 60/136] HTTP 200 | 나크 565493 | 2025-03-12 -> 2025-03-13 | https://www.nightcrows.co.kr/news/release/565493
[OK 61/136] HTTP 200 | 나크 573040 | 2025-03-19 -> 2025-03-20 | https://www.nightcrows.co.kr/news/release/573040
[OK 62/136] HTTP 200 | 나크 577607 | 2025-03-26 -> 2025-03-27 | https://www.nightcrows.co.kr/news/release/577607
[OK 63/136] HTTP 200 | 나크 580970 | 2025-04-02 -> 2025-04-03 | https://www.nightcrows.co.kr/news/release/580970
[OK 64/136] HTTP 200 | 나크 586243 | 2025-04-09 -> 2025-04-10 | https://www.nightcrows.co.kr/news/release/586243
[OK 65/136] HTTP 200 | 나크 589474 | 2025-04-16 -> 2025-04-17 | https://www.nightcrows.co.kr/news/release/589474
[OK 66/136] HTTP 200 | 나크 591422 | 2025-04-23 -> 2025-04-24 | https://www.nightcrows.co.kr/news/release/591422
[OK 67/136] HTTP 200 | 나크 596673 | 2025-04-29 -> 2025-04-30 | https://www.nightcrows.co.kr/news/release/596673
[OK 68/136] HTTP 200 | 나크 599442 | 2025-05-07 -> 2025-05-08 | https://www.nightcrows.co.kr/news/release/599442
[OK 69/136] HTTP 200 | 나크 602193 | 2025-05-14 -> 2025-05-15 | https://www.nightcrows.co.kr/news/release/602193
[OK 70/136] HTTP 200 | 나크 604204 | 2025-05-21 -> 2025-05-22 | https://www.nightcrows.co.kr/news/release/604204
[OK 71/136] HTTP 200 | 나크 607481 | 2025-05-28 -> 2025-05-29 | https://www.nightcrows.co.kr/news/release/607481
[OK 72/136] HTTP 200 | 나크 609636 | 2025-06-04 -> 2025-06-05 | https://www.nightcrows.co.kr/news/release/609636
[OK 73/136] HTTP 200 | 나크 611672 | 2025-06-11 -> 2025-06-12 | https://www.nightcrows.co.kr/news/release/611672
[OK 74/136] HTTP 200 | 나크 613647 | 2025-06-18 -> 2025-06-19 | https://www.nightcrows.co.kr/news/release/613647
[OK 75/136] HTTP 200 | 나크 615526 | 2025-06-25 -> 2025-06-26 | https://www.nightcrows.co.kr/news/release/615526
[OK 76/136] HTTP 200 | 나크 616447 | 2025-07-02 -> 2025-07-03 | https://www.nightcrows.co.kr/news/release/616447
[OK 77/136] HTTP 200 | 나크 618438 | 2025-07-09 -> 2025-07-10 | https://www.nightcrows.co.kr/news/release/618438
[OK 78/136] HTTP 200 | 나크 620039 | 2025-07-16 -> 2025-07-17 | https://www.nightcrows.co.kr/news/release/620039
[OK 79/136] HTTP 200 | 나크 620690 | 2025-07-23 -> 2025-07-24 | https://www.nightcrows.co.kr/news/release/620690
[OK 80/136] HTTP 200 | 나크 626227 | 2025-07-30 -> 2025-07-31 | https://www.nightcrows.co.kr/news/release/626227
[OK 81/136] HTTP 200 | 나크 628435 | 2025-08-06 -> 2025-08-07 | https://www.nightcrows.co.kr/news/release/628435
[OK 82/136] HTTP 200 | 나크 629994 | 2025-08-13 -> 2025-08-14 | https://www.nightcrows.co.kr/news/release/629994
[OK 83/136] HTTP 200 | 나크 642485 | 2025-08-20 -> 2025-08-21 | https://www.nightcrows.co.kr/news/release/642485
[OK 84/136] HTTP 200 | 나크 644314 | 2025-08-27 -> 2025-08-28 | https://www.nightcrows.co.kr/news/release/644314
[OK 85/136] HTTP 200 | 나크 647063 | 2025-09-03 -> 2025-09-04 | https://www.nightcrows.co.kr/news/release/647063
[OK 86/136] HTTP 200 | 나크 649022 | 2025-09-10 -> 2025-09-11 | https://www.nightcrows.co.kr/news/release/649022
[OK 87/136] HTTP 200 | 나크 650207 | 2025-09-17 -> 2025-09-18 | https://www.nightcrows.co.kr/news/release/650207
[OK 88/136] HTTP 200 | 나크 651407 | 2025-09-24 -> 2025-09-25 | https://www.nightcrows.co.kr/news/release/651407
[OK 89/136] HTTP 200 | 나크 652515 | 2025-10-01 -> 2025-10-02 | https://www.nightcrows.co.kr/news/release/652515
[OK 90/136] HTTP 200 | 나크 654681 | 2025-10-15 -> 2025-10-16 | https://www.nightcrows.co.kr/news/release/654681
[OK 91/136] HTTP 200 | 나크 655961 | 2025-10-22 -> 2025-10-23 | https://www.nightcrows.co.kr/news/release/655961
[OK 92/136] HTTP 200 | 나크 658299 | 2025-10-29 -> 2025-10-30 | https://www.nightcrows.co.kr/news/release/658299
[OK 93/136] HTTP 200 | 나크 665626 | 2025-11-05 -> 2025-11-06 | https://www.nightcrows.co.kr/news/release/665626
[OK 94/136] HTTP 200 | 나크 671210 | 2025-11-12 -> 2025-11-13 | https://www.nightcrows.co.kr/news/release/671210
[OK 95/136] HTTP 200 | 나크 677786 | 2025-11-19 -> 2025-11-20 | https://www.nightcrows.co.kr/news/release/677786
[OK 96/136] HTTP 200 | 나크 686157 | 2025-11-26 -> 2025-11-27 | https://www.nightcrows.co.kr/news/release/686157
[OK 97/136] HTTP 200 | 나크 689218 | 2025-12-03 -> 2025-12-04 | https://www.nightcrows.co.kr/news/release/689218
[OK 98/136] HTTP 200 | 나크 691849 | 2025-12-10 -> 2025-12-11 | https://www.nightcrows.co.kr/news/release/691849
[OK 99/136] HTTP 200 | 나크 695432 | 2025-12-17 -> 2025-12-18 | https://www.nightcrows.co.kr/news/release/695432
[OK 100/136] HTTP 200 | 나크 699092 | 2025-12-23 -> 2025-12-24 | https://www.nightcrows.co.kr/news/release/699092
[OK 101/136] HTTP 200 | 나크 704598 | 2026-01-07 -> 2026-01-08 | https://www.nightcrows.co.kr/news/release/704598
[OK 102/136] HTTP 200 | 나크 706580 | 2026-01-14 -> 2026-01-15 | https://www.nightcrows.co.kr/news/release/706580
[OK 103/136] HTTP 200 | 나크 708864 | 2026-01-21 -> 2026-01-22 | https://www.nightcrows.co.kr/news/release/708864
[OK 104/136] HTTP 200 | 나크 710480 | 2026-01-28 -> 2026-01-29 | https://www.nightcrows.co.kr/news/release/710480
[OK 105/136] HTTP 200 | 나크 712722 | 2026-02-04 -> 2026-02-05 | https://www.nightcrows.co.kr/news/release/712722
[OK 106/136] HTTP 200 | 나크 714932 | 2026-02-11 -> 2026-02-12 | https://www.nightcrows.co.kr/news/release/714932
[OK 107/136] HTTP 200 | 나크 717486 | 2026-02-25 -> 2026-02-26 | https://www.nightcrows.co.kr/news/release/717486
[OK 108/136] HTTP 200 | 나크 718730 | 2026-03-04 -> 2026-03-05 | https://www.nightcrows.co.kr/news/release/718730
[OK 109/136] HTTP 200 | 나크 720271 | 2026-03-11 -> 2026-03-12 | https://www.nightcrows.co.kr/news/release/720271
[OK 110/136] HTTP 200 | 나크 721785 | 2026-03-18 -> 2026-03-19 | https://www.nightcrows.co.kr/news/release/721785
[OK 111/136] HTTP 200 | 나크 723461 | 2026-03-25 -> 2026-03-26 | https://www.nightcrows.co.kr/news/release/723461
[OK 112/136] HTTP 200 | 나크 724994 | 2026-04-01 -> 2026-04-02 | https://www.nightcrows.co.kr/news/release/724994
[OK 113/136] HTTP 200 | 나크 726856 | 2026-04-08 -> 2026-04-09 | https://www.nightcrows.co.kr/news/release/726856
[OK 114/136] HTTP 200 | 나크 729074 | 2026-04-15 -> 2026-04-16 | https://www.nightcrows.co.kr/news/release/729074
[OK 115/136] HTTP 200 | 나크 729360 | 2026-04-22 -> 2026-04-23 | https://www.nightcrows.co.kr/news/release/729360
[OK 116/136] HTTP 200 | 나크 734181 | 2026-04-29 -> 2026-04-30 | https://www.nightcrows.co.kr/news/release/734181
[OK 117/136] HTTP 200 | 나크 735423 | 2026-05-06 -> 2026-05-07 | https://www.nightcrows.co.kr/news/release/735423
[OK 118/136] HTTP 200 | 나크 736812 | 2026-05-13 -> 2026-05-14 | https://www.nightcrows.co.kr/news/release/736812
[OK 119/136] HTTP 200 | 나크 738211 | 2026-05-20 -> 2026-05-21 | https://www.nightcrows.co.kr/news/release/738211
[OK 120/136] HTTP 200 | 오딘 23 | 2022-12-08 -> 2021-12-08 | https://m.cafe.daum.net/odin/DEH7/23
[OK 121/136] HTTP 200 | 오딘 26 | 2022-12-29 -> 2021-12-29 | https://m.cafe.daum.net/odin/DEH7/26
[OK 122/136] HTTP 200 | 오딘 74 | 2023-12-07 -> 2022-12-07 | https://m.cafe.daum.net/odin/DEH7/74
[OK 123/136] HTTP 200 | 오딘 76 | 2023-12-21 -> 2022-12-21 | https://m.cafe.daum.net/odin/DEH7/76
[OK 124/136] HTTP 200 | 오딘 80 | 2022-01-11 -> 2023-01-11 | https://m.cafe.daum.net/odin/DEH7/80
[OK 125/136] HTTP 200 | 오딘 82 | 2022-01-26 -> 2023-01-26 | https://m.cafe.daum.net/odin/DEH7/82
[OK 126/136] HTTP 200 | 오딘 88 | 2022-03-08 -> 2023-03-08 | https://m.cafe.daum.net/odin/DEH7/88
[OK 127/136] HTTP 200 | 오딘 123 | 2024-11-08 -> 2023-11-08 | https://m.cafe.daum.net/odin/DEH7/123
[OK 128/136] HTTP 200 | 오딘 127 | 2024-12-06 -> 2023-12-06 | https://m.cafe.daum.net/odin/DEH7/127
[OK 129/136] HTTP 200 | 오딘 129 | 2024-12-20 -> 2023-12-20 | https://m.cafe.daum.net/odin/DEH7/129
[OK 130/136] HTTP 200 | 오딘 147 | 2024-06-19 -> 2024-04-24 | https://m.cafe.daum.net/odin/DEH7/147
[OK 131/136] HTTP 200 | 오딘 176 | 2025-11-13 -> 2024-11-13 | https://m.cafe.daum.net/odin/DEH7/176
[OK 132/136] HTTP 200 | 오딘 180 | 2025-12-11 -> 2024-12-11 | https://m.cafe.daum.net/odin/DEH7/180
[OK 133/136] HTTP 200 | 오딘 181 | 2025-12-18 -> 2024-12-18 | https://m.cafe.daum.net/odin/DEH7/181
[OK 134/136] HTTP 200 | 오딘 183 | 2024-01-01 -> 2025-01-01 | https://m.cafe.daum.net/odin/DEH7/183
[OK 135/136] HTTP 200 | 오딘 229 | 2026-11-12 -> 2025-11-12 | https://m.cafe.daum.net/odin/DEH7/229
[OK 136/136] HTTP 200 | 오딘 236 | 2026-12-31 -> 2025-12-31 | https://m.cafe.daum.net/odin/DEH7/236
[DONE] ok=136 failed=0 dry_run=0
